48) High: 40.000; Low: 39.990; Close: 40.000 | 2023-05-25T18:21:00Z
49) High: 39.990; Low: 39.990; Close: 39.990 | 2023-05-25T18:22:00Z
50) High: 40.000; Low: 39.985; Close: 39.990 | 2023-05-25T18:23:00Z
51) High: 40.000; Low: 39.990; Close: 39.990 | 2023-05-25T18:24:00Z
52) High: 40.000; Low: 39.990; Close: 40.000 | 2023-05-25T18:25:00Z
53) High: 40.000; Low: 39.990; Close: 39.990 | 2023-05-25T18:26:00Z
54) High: 40.000; Low: 39.990; Close: 39.990 | 2023-05-25T18:27:00Z
55) High: 40.000; Low: 39.990; Close: 39.990 | 2023-05-25T18:28:00Z
56) High: 40.000; Low: 40.000; Close: 40.000 | 2023-05-25T18:29:00Z
57) High: 40.000; Low: 39.990; Close: 39.990 | 2023-05-25T18:30:00Z
58) High: 40.000; Low: 39.990; Close: 39.990 | 2023-05-25T18:31:00Z
59) High: 39.995; Low: 39.965; Close: 39.965 | 2023-05-25T18:32:00Z
60) High: 39.985; Low: 39.965; Close: 39.985 | 2023-05-25T18:33:00Z
61) High: 40.000; Low: 39.970; Close: 40.000 | 2023-05-25T18:34:00Z
62) High: 40.000; Low: 39.985; Close: 39.985 | 2023-05-25T18:35:00Z
63) High: 40.000; Low: 39.985; Close: 40.000 | 2023-05-25T18:36:00Z
64) High: 40.000; Low: 39.985; Close: 40.000 | 2023-05-25T18:37:00Z
65) High: 40.000; Low: 39.985; Close: 39.995 | 2023-05-25T18:38:00Z
66) High: 40.000; Low: 39.985; Close: 40.000 | 2023-05-25T18:39:00Z
67) High: 39.995; Low: 39.995; Close: 39.995 | 2023-05-25T18:40:00Z
68) High: 40.000; Low: 39.985; Close: 40.000 | 2023-05-25T18:41:00Z
69) High: 40.000; Low: 39.985; Close: 39.995 | 2023-05-25T18:42:00Z
70) High: 40.000; Low: 39.985; Close: 39.995 | 2023-05-25T18:43:00Z
71) High: 40.000; Low: 39.985; Close: 39.995 | 2023-05-25T18:44:00Z
72) High: 40.000; Low: 39.990; Close: 40.000 | 2023-05-25T18:45:00Z
73) High: 40.000; Low: 40.000; Close: 40.000 | 2023-05-25T18:46:00Z
74) High: 40.000; Low: 39.990; Close: 40.000 | 2023-05-25T18:47:00Z
75) High: 40.000; Low: 39.995; Close: 39.995 | 2023-05-25T18:48:00Z
76) High: 40.000; Low: 39.985; Close: 40.000 | 2023-05-25T18:49:00Z
77) High: 40.000; Low: 39.990; Close: 40.000 | 2023-05-25T18:50:00Z
78) High: 40.000; Low: 39.995; Close: 39.995 | 2023-05-25T18:51:00Z
