3229 - TIKER: POGR | FIGI: BBG00VPKLPX4 | CLASSCODE: TQBR
3230 - TIKER: KRSB | FIGI: BBG000VPC602 | CLASSCODE: TQBR
3237 - TIKER: FEES | FIGI: BBG00475JZZ6 | CLASSCODE: TQBR
3265 - TIKER: MAGN | FIGI: TCS009084396 | CLASSCODE: SPEQ
3267 - TIKER: DASB | FIGI: BBG000LWVHN8 | CLASSCODE: TQPI
3273 - TIKER: KROT | FIGI: BBG000NLB2G3 | CLASSCODE: TQBR
3282 - TIKER: KAZT | FIGI: BBG002B9MYC1 | CLASSCODE: TQBR
3295 - TIKER: KOGK | FIGI: BBG000R41LN8 | CLASSCODE: TQBR
3298 - TIKER: TNSE | FIGI: BBG009CWKVN0 | CLASSCODE: TQBR
3331 - TIKER: RUGR | FIGI: BBG0014PFYM2 | CLASSCODE: TQPI
3340 - TIKER: PMSB | FIGI: BBG000MZL0Y6 | CLASSCODE: TQBR
3342 - TIKER: PRFN | FIGI: BBG003BNWBP3 | CLASSCODE: TQPI
3343 - TIKER: RLMN | FIGI: BBG003QGWDZ7 | CLASSCODE: TQPI
3347 - TIKER: ARSA | FIGI: BBG000VBMPW5 | CLASSCODE: TQBR
3371 - TIKER: SIBN | FIGI: BBG004S684M6 | CLASSCODE: TQBR
3386 - TIKER: YAKG | FIGI: BBG002B298N6 | CLASSCODE: TQBR
3405 - TIKER: TGKB | FIGI: BBG000Q7GG57 | CLASSCODE: TQBR
3417 - TIKER: OGKB | FIGI: TCS00A0JNG55 | CLASSCODE: SMAL
3435 - TIKER: KLSB | FIGI: BBG000DBD6F6 | CLASSCODE: TQBR
3437 - TIKER: PIKK | FIGI: RU000A0JP7J7 | CLASSCODE: SPEQ
3452 - TIKER: NAUK | FIGI: BBG002BLR408 | CLASSCODE: TQBR
3453 - TIKER: MAGE | FIGI: BBG0018X73Z4 | CLASSCODE: TQBR
3457 - TIKER: CHMK | FIGI: BBG000RP8V70 | CLASSCODE: TQBR
3460 - TIKER: SBER | FIGI: TCS009029540 | CLASSCODE: SMAL
3469 - TIKER: GEMA | FIGI: BBG00PT8QHK7 | CLASSCODE: TQBR
3474 - TIKER: FESH | FIGI: TCS008992318 | CLASSCODE: SMAL
3490 - TIKER: RNFT | FIGI: BBG00F9XX7H4 | CLASSCODE: TQBR
3497 - TIKER: MSRS | FIGI: BBG004S687G6 | CLASSCODE: TQBR
